# Port list
#   Borrowed heavily from Nmap's port list and 
#     www.simovits.com trojan port list, with additions
#
# format:  port[ut] | description | citation (URL) | date entered
#
160u | sgmp-traps |  | 
161t | snmp |  | 
162u | snmptrap - snmp-trap |  | 
163u | cmip-man - CMIP/TCP Manager |  | 
164t | cmip-agent - CMIP/TCP Agent |  | 
165t | xns-courier - Xerox |  | 
166t | s-net - Sirius Systems |  | 
167t | namp |  | 
168u | rsvd |  | 
169t | send |  | 
170t | print-srv - Network PostScript |  | 
171t | multiplex - Network Innovations Multiplex |  | 
172t | cl-1 - Network Innovations CL/1 |  | 
173u | xyplex-mux |  | 
174u | mailq |  | 
175u | vmnet |  | 
176u | genrad-mux |  | 
177t | xdmcp - X Display Mgr. Control Proto |  | 
178u | nextstep - NextStep Window Server |  | 
179u | bgp - Border Gateway Protocol |  | 
180u | ris - Intergraph |  | 
181t | unify |  | 
182t | audit - Unisys Audit SITP |  | 
183t | ocbinder |  | 
184u | ocserver |  | 
185t | remote-kis |  | 
186u | kis - KIS Protocol |  | 
187t | aci - Application Communication Interface |  | 
188t | mumps - Plus Five's MUMPS |  | 
189u | qft - Queued File Transport |  | 
190t | gacp - Gateway Access Control Protocol |  | 
191t | prospero - Prospero Directory Service |  | 
192u | osu-nms - OSU Network Monitoring System |  | 
193t | srmp - Spider Remote Monitoring Protocol |  | 
194t | irc - Internet Relay Chat |  | 
195u | dn6-nlm-aud - DNSIX Network Level Module Audit |  | 
196t | dn6-smm-red - DNSIX Session Mgt Module Audit Redir |  | 
197u | dls - Directory Location Service |  | 
198u | dls-mon - Directory Location Service Monitor |  | 
199u | smux |  | 
200u | src - IBM System Resource Controller |  | 
201t | at-rtmp - AppleTalk Routing Maintenance |  | 
202u | at-nbp - AppleTalk Name Binding |  | 
203u | at-3 - AppleTalk Unused |  | 
204t | at-echo - AppleTalk Echo |  | 
205t | at-5 - AppleTalk Unused |  | 
206t | at-zis - AppleTalk Zone Information |  | 
207u | at-7 - AppleTalk Unused |  | 
208u | at-8 - AppleTalk Unused |  | 
209t | tam - Trivial Authenticated Mail Protocol |  | 
210t | z39.50 - wais, ANSI Z39.50 |  | 
211u | 914c-g - Texas Instruments 914C/G Terminal |  | 
212u | anet - ATEXSSTR |  | 
213t | ipx |  | 
214u | vmpwscs |  | 
215u | softpc - Insignia Solutions |  | 
216t | atls - Access Technology License Server |  | 
217t | dbase - dBASE Unix |  | 
218u | mpp - Netix Message Posting Protocol |  | 
219u | uarps - Unisys ARPs |  | 
220t | imap3 - Interactive Mail Access Protocol v3 |  | 
221u | fln-spx - Berkeley rlogind with SPX auth |  | 
222u | rsh-spx - Berkeley rshd with SPX auth |  | 
223t | cdc - Certificate Distribution Center |  | 
242t | direct |  | 
243t | sur-meas - Survey Measurement |  | 
244u | dayna |  | 
245t | link |  | 
246u | dsp3270 - Display Systems Protocol |  | 
247u | subntbcst_tftp |  | 
248t | bhfhs |  | 
256t | rap |  | 
257u | set - secure electronic transaction |  | 
258t | yak-chat - yak winsock personal chat |  | 
259u | esro-gen - efficient short remote operations |  | 
260t | openport |  | 
261u | nsiiops - iiop name service over tls/ssl |  | 
262u | arcisdms |  | 
263u | hdap |  | 
264u | bgmp |  | 
280u | http-mgmt |  | 
281t | personal-link |  | 
282t | cableport-ax - cable port a/x |  | 
308u | novastorbakcup - novastor backup |  | 
309t | entrusttime |  | 
310t | bhmds |  | 
311t | asip-webadmin - appleshare ip webadmin |  | 
312t | vslmp |  | 
313t | magenta-logic |  | 
314t | opalis-robot |  | 
315u | dpsi |  | 
316t | decauth |  | 
317u | zannet |  | 
321t | pip |  | 
334t | Backage | http://www.simovits.com/trojans/tr_data/y127.html | 2001-06-06
344u | pdap - Prospero Data Access Protocol |  | 
345t | pawserv - Perf Analysis Workbench |  | 
346u | zserv - Zebra server |  | 
347u | fatserv - Fatmen Server |  | 
348t | csi-sgwp - Cabletron Management Protocol |  | 
349t | mftp |  | 
350t | matip-type-a - MATIP Type A |  | 
351u | matip-type-b - MATIP Type B or bhoetty |  | 
352t | dtag-ste-sb - DTAG, or bhoedap4 |  | 
353u | ndsauth |  | 
354t | bh611 |  | 
355t | datex-asn |  | 
356u | cloanto-net-1 |  | 
357t | bhevent |  | 
358t | shrinkwrap |  | 
359u | tenebris_nts - Tenebris Network Trace Service |  | 
360t | scoi2odialog |  | 
361t | semantix |  | 
362u | srssend - SRS Send |  | 
363u | rsvp_tunnel |  | 
364t | aurora-cmgr |  | 
365t | dtk - Deception Tool Kit (lame -- see www.all.net) |  | 
366t | odmr |  | 
367u | mortgageware |  | 
368u | qbikgdp |  | 
369u | rpc2portmap |  | 
370t | codaauth2 |  | 
371u | clearcase |  | 
372u | ulistserv - Unix Listserv |  | 
373t | legent-1 - Legent Corporation (now Computer Associates Intl.) |  | 
374t | legent-2 - Legent Corporation (now Computer Associates Intl.) |  | 
375t | hassle |  | 
376u | nip - Amiga Envoy Network Inquiry Proto |  | 
377t | tnETOS - NEC Corporation |  | 
378u | dsETOS - NEC Corporation |  | 
379t | is99c - TIA/EIA/IS-99 modem client |  | 
380u | is99s - TIA/EIA/IS-99 modem server |  | 
381u | hp-collector - hp performance data collector |  | 
382u | hp-managed-node - hp performance data managed node |  | 
383u | hp-alarm-mgr - hp performance data alarm manager |  | 
384t | arns - A Remote Network Server System |  | 
385t | ibm-app - IBM Application |  | 
386t | asa - ASA Message Router Object Def. |  | 
387u | aurp - Appletalk Update-Based Routing Pro. |  | 
388u | unidata-ldm - Unidata LDM Version 4 |  | 
389u | ldap - Lightweight Directory Access Protocol |  | 
390u | uis |  | 
391u | synotics-relay - SynOptics SNMP Relay Port |  | 
392u | synotics-broker - SynOptics Port Broker Port |  | 
393u | dis - Data Interpretation System |  | 
394t | embl-ndt - EMBL Nucleic Data Transfer |  | 
395u | netcp - NETscout Control Protocol |  | 
396u | netware-ip - Novell Netware over IP |  | 
397t | mptn - Multi Protocol Trans. Net. |  | 
398t | kryptolan |  | 
399t | iso-tsap-c2 - ISO-TSAP Class 2 |  | 
400t | work-sol - Workstation Solutions |  | 
401t | ups - Uninterruptible Power Supply |  | 
402u | genie - Genie Protocol |  | 
403t | decap |  | 
404u | nced |  | 
405u | ncld |  | 
406t | imsp - Interactive Mail Support Protocol |  | 
407t | timbuktu |  | 
408t | prm-sm - Prospero Resource Manager Sys. Man. |  | 
409t | prm-nm - Prospero Resource Manager Node Man. |  | 
410u | decladebug - DECLadebug Remote Debug Protocol |  | 
411t | rmt - Remote MT Protocol |  | 
412t | synoptics-trap - Trap Convention Port |  | 
413t | smsp |  | 
414t | infoseek |  | 
415u | bnet |  | 
416u | silverplatter |  | 
417t | onmux |  | 
418u | hyper-g |  | 
419t | ariel1 |  | 
420t | smpte |  | 
421t | ariel2 |  | 
422t | ariel3 |  | 
423t | opc-job-start - IBM Operations Planning and Control Start |  | 
424u | opc-job-track - IBM Operations Planning and Control Track |  | 
425u | icad-el |  | 
426u | smartsdp |  | 
427u | svrloc - Server Location |  | 
428t | ocs_cmu |  | 
429t | ocs_amu |  | 
430u | utmpsd |  | 
431u | utmpcd |  | 
432u | iasd |  | 
433u | nnsp |  | 
434t | mobileip-agent |  | 
435t | mobilip-mn |  | 
436t | dna-cml |  | 
437u | comscm |  | 
438t | dsfgw |  | 
439t | dasp |  | 
440u | sgcp |  | 
441t | decvms-sysmgt |  | 
442t | cvc_hostd |  | 
443t | https - secure http (SSL) |  | 
444t | snpp - Simple Network Paging Protocol |  | 
445u | microsoft-ds |  | 
446u | ddm-rdb |  | 
447u | ddm-dfm |  | 
448u | ddm-ssl - ddm-byte |  | 
449t | as-servermap - AS Server Mapper |  | 
450u | tserver |  | 
451t | sfs-smp-net - Cray Network Semaphore server |  | 
452u | sfs-config - Cray SFS config server |  | 
453t | creativeserver |  | 
454u | contentserver |  | 
455u | creativepartnr |  | 
456u | macon-udp |  | 
457t | scohelp |  | 
458t | appleqtc - apple quick time |  | 
459u | ampr-rcmd |  | 
460u | skronk |  | 
461u | datasurfsrv |  | 
462u | datasurfsrvsec |  | 
463t | alpes |  | 
464u | kpasswd5 - Kerberos (v5) |  | 
465t | smtps - smtp protocol over TLS/SSL (was ssmtp) |  | 
466t | digital-vrc |  | 
467t | mylex-mapd |  | 
468t | photuris - Photuris Key Management |  | 
469u | rcp - Radio Control Protocol |  | 
470u | scx-proxy |  | 
471t | mondex |  | 
472u | ljk-login |  | 
473t | hybrid-pop |  | 
474u | tn-tl-w2 |  | 
475t | tcpnethaspsrv |  | 
476t | tn-tl-fd1 |  | 
477t | ss7ns |  | 
478t | spsc |  | 
479u | iafserver |  | 
480t | loadsrv |  | 
481u | ph |  | 
482u | xlog |  | 
483t | ulpnet |  | 
484t | integra-sme - Integra Software Management Environment |  | 
485u | powerburst - Air Soft Power Burst |  | 
486u | avian |  | 
487t | saft - saft Simple Asynchronous File Transfer |  | 
488u | gss-http |  | 
489u | nest-protocol |  | 
490u | micom-pfs |  | 
491u | go-login |  | 
492u | ticf-1 - Transport Independent Convergence for FNA |  | 
493t | ticf-2 - Transport Independent Convergence for FNA |  | 
494t | pov-ray |  | 
495t | intecourier |  | 
496t | pim-rp-disc |  | 
497t | dantz |  | 
498u | siam |  | 
499u | iso-ill - ISO ILL Protocol |  | 
500t | isakmp |  | 
501t | stmf |  | 
502u | asa-appl-proto |  | 
503t | intrinsa |  | 
504t | citadel |  | 
505t | mailbox-lm |  | 
506t | ohimsrv |  | 
507u | crs |  | 
508u | xvttp |  | 
509u | snare |  | 
510u | fcp - FirstClass Protocol |  | 
511u | passgo |  | 
512u | biff - comsat |  | 
513u | who - BSD rwhod(8) |  | 
514t | shell - BSD rshd(8) |  | 
515u | printer - spooler (lpd) |  | 
516u | videotex |  | 
517t | talk - like tenex link, but across |  | 
518u | ntalk - (talkd) |  | 
519u | utime - unixtime |  | 
520u | route - router routed -- RIP |  | 
521u | ripng |  | 
522t | ulp |  | 
523t | ibm-db2 |  | 
524t | ncp |  | 
525t | timed - timeserver |  | 
526u | tempo - newdate |  | 
527t | stx - Stock IXChange |  | 
528t | custix - Customer IXChange |  | 
529t | irc-serv |  | 
530t | courier - rpc |  | 
531u | conference - chat |  | 
532u | netnews - readnews |  | 
533t | netwall - for emergency broadcasts |  | 
534t | mm-admin - MegaMedia Admin |  | 
535u | iiop |  | 
536u | opalis-rdv |  | 
537u | nmsp - Networked Media Streaming Protocol |  | 
538u | gdomap |  | 
539t | apertus-ldp - Apertus Technologies Load Determination |  | 
540t | uucp - uucpd |  | 
541u | uucp-rlogin |  | 
542u | commerce |  | 
543u | klogin - Kerberos (v4/v5) |  | 
544u | kshell - krcmd Kerberos (v4/v5) |  | 
545t | ekshell - Kerberos encrypted remote shell -kfall |  | 
546u | dhcpv6-client - DHCPv6 Client |  | 
547u | dhcpv6-server - DHCPv6 Server |  | 
548t | afpovertcp - AFP over TCP |  | 
549u | idfp |  | 
550u | new-rwho - new-who |  | 
551u | cybercash |  | 
552u | deviceshare |  | 
553t | pirp |  | 
554t | rtsp - Real Time Stream Control Protocol |  | 
555t | dsf |  | 
556u | remotefs - rfs, rfs_server, Brunhoff remote filesystem |  | 
557t | openvms-sysipc |  | 
558u | sdnskmp |  | 
559u | teedtap |  | 
560u | rmonitor - rmonitord |  | 
561t | monitor |  | 
562t | chshell - chcmd |  | 
563t | snews |  | 
564u | 9pfs - plan 9 file service |  | 
565t | whoami |  | 
566t | streettalk |  | 
567t | banyan-rpc |  | 
568u | ms-shuttle - Microsoft shuttle |  | 
569t | ms-rome - Microsoft rome |  | 
570t | meter - demon |  | 
571u | umeter - udemon |  | 
572u | sonar |  | 
573t | banyan-vip |  | 
574u | ftp-agent - FTP Software Agent System |  | 
575t | vemmi |  | 
576u | ipcd |  | 
577u | vnas |  | 
578t | ipdd |  | 
579u | decbsrv |  | 
580t | sntp-heartbeat |  | 
581t | bdp - Bundle Discovery Protocol |  | 
582t | scc-security |  | 
583u | philips-vc - Philips Video-Conferencing |  | 
584t | keyserver |  | 
585u | imap4-ssl - use 993 instead) |  | 
586u | password-chg |  | 
587t | submission |  | 
588t | cal |  | 
589t | eyelink |  | 
590u | tns-cml |  | 
591t | http-alt - FileMaker, Inc. - HTTP Alternate |  | 
592t | eudora-set |  | 
593t | http-rpc-epmap - HTTP RPC Ep Map |  | 
594t | tpip |  | 
595u | cab-protocol |  | 
596u | smsd |  | 
597t | ptcnameservice - PTC Name Service |  | 
598u | sco-websrvrmg3 - SCO Web Server Manager 3 |  | 
599u | acp - Aeolon Core Protocol |  | 
600u | ipcserver - Sun IPC server |  | 
605t | Secret Service | http://www.simovits.com/trojans/tr_data/y1150.html | 2001-06-06
606t | urm - Cray Unified Resource Manager |  | 
607t | nqs |  | 
608t | sift-uft - Sender-Initiated/Unsolicited File Transfer |  | 
609t | npmp-trap |  | 
610u | npmp-local |  | 
611u | npmp-gui |  | 
634u | ginad |  | 
635u | mount - NFS Mount Service |  | 
640u | pcnfs - PC-NFS DOS Authentication |  | 
650u | bwnfs - BW-NFS DOS Authentication |  | 
666u | doom - doom Id Software |  | 
667t | SniperNet | http://www.simovits.com/trojans/tr_data/y1207.html | 2001-06-06
669t | DP trojan | http://www.simovits.com/trojans/tr_data/y366.html | 2001-06-06
692t | GayOL | http://www.simovits.com/trojans/tr_data/y514.html | 2001-06-06
704t | elcsd - errlog copy/server daemon |  | 
709u | entrustmanager - EntrustManager - NorTel DES auth network see 389t |  | 
729t | netviewdm1 - IBM NetView DM/6000 Server/Client |  | 
730u | netviewdm2 - IBM NetView DM/6000 sendt |  | 
731u | netviewdm3 - IBM NetView DM/6000 receivet |  | 
740u | netcp - NETscout Control Protocol |  | 
741u | netgw |  | 
742u | netrcs - Network based Rev. Cont. Sys. |  | 
744t | flexlm - Flexible License Manager |  | 
747u | fujitsu-dev - Fujitsu Device Control |  | 
748u | ris-cm - Russell Info Sci Calendar Manager |  | 
749t | kerberos-adm - Kerberos 5 admin/changepw |  | 
750t | kerberos - kdc Kerberos (v4) |  | 
751u | kerberos_master - Kerberos `kadmin' (v4) |  | 
752t | qrh |  | 
753t | rrh |  | 
754t | krb_prop - kerberos/v5 server propagation |  | 
758u | nlogin |  | 
759t | con |  | 
760t | krbupdate - kreg Kerberos (v4) registration |  | 
761t | kpasswd - kpwd Kerberos (v4) "passwd" |  | 
762u | quotad |  | 
763t | cycleserv |  | 
764t | omserv |  | 
765t | webster |  | 
767t | phonebook - phone |  | 
769t | vid |  | 
770t | cadlock |  | 
771u | rtip |  | 
772t | cycleserv2 |  | 
773t | submit |  | 
774t | rpasswd |  | 
775u | acmaint_transd |  | 
776t | wpages |  | 
777t | AimSpy | http://www.simovits.com/trojans/tr_data/y52.html | 2001-06-06
780u | wpgs |  | 
781u | hp-collector - hp performance data collector |  | 
782t | hp-managed-node - hp performance data managed node |  | 
